SRA_number,read_number,#_contigs(>=0bp),#_contigs(>=1000bp),#_contigs(>=5000bp),#_contigs(>=10000bp),#_contigs(>=25000bp),#_contigs(>=50000bp),Total_length(>=0bp),Total_length(>=1000bp),Total_length(>=5000bp),Total_length(>=10000bp),Total_length(>=25000bp),Total_length(>=50000bp),#_contigs,Largestcontig,Totallength,GC(%),N50,N75,L50,L75
SRR3989774,3250000,419,115,70,55,41,31,5156312,5091752,4991356,4877243,4641750,4304652,144,433052,5111757,50.61,152242,66464,11,24
SRR3989774,3500000,424,114,69,54,43,31,5157289,5090713,4989874,4874922,4675431,4284446,144,433052,5111751,50.61,152242,66464,11,24
SRR3989774,3750000,427,116,70,56,41,31,5157025,5090662,4985161,4881571,4621478,4284364,146,433052,5111595,50.61,152242,66464,11,24
SRR3989774,4000000,426,112,66,51,38,30,5156860,5090213,4984697,4873226,4651991,4389811,141,433052,5110564,50.61,167833,76052,10,22
SRR3989774,4250000,432,111,66,53,40,31,5157470,5089631,4987366,4892992,4674127,4379129,142,433052,5111187,50.61,163563,73744,11,23
SRR3989774,4500000,411,113,66,55,38,30,5156173,5090934,4986448,4904785,4621206,4359016,144,433052,5112109,50.61,175717,73744,10,22
SRR3989774,4750000,414,114,66,55,38,30,5155940,5091338,4985478,4903815,4621024,4358827,144,433052,5111557,50.61,175717,73744,10,22
SRR3989774,5000000,408,113,66,55,38,30,5156139,5090947,4986512,4904900,4621325,4359135,144,433052,5112122,50.61,175717,73779,10,22
SRR3989774,5250000,415,115,69,58,41,32,5156805,5091407,4988504,4906841,4621395,4328594,146,335206,5112582,50.61,153565,69514,12,24
SRR3989774,5500000,409,115,66,56,40,31,5156392,5091471,4979258,4907223,4641677,4348883,146,335206,5112647,50.61,163563,69514,11,23
SRR3989774,5750000,406,113,64,54,40,30,5156469,5091758,4979545,4907547,4674563,4348999,144,335206,5112982,50.61,175717,69514,11,22
SRR3989774,6000000,409,114,65,55,38,30,5156635,5091492,4979287,4907289,4625531,4363389,145,349605,5112723,50.61,175717,69514,11,22
SRR3989774,6250000,409,115,65,55,38,30,5156424,5091590,4976929,4904908,4625462,4363320,146,349605,5112821,50.61,175673,69514,11,22
SRR3989774,6500000,418,112,62,51,37,29,5156723,5088728,4975588,4894908,4667487,4406060,144,433052,5110858,50.61,189092,83688,10,21
SRR3989774,6750000,418,112,62,51,37,29,5158788,5090985,4975009,4894727,4667307,4405880,143,433052,5112591,50.6,189092,83688,10,21
SRR3989774,7000000,414,111,62,51,37,29,5158809,5091925,4978387,4897074,4667342,4405867,141,433052,5112800,50.6,189092,83688,10,21
SRR3989774,7250000,401,111,61,50,37,29,5157376,5092910,4975929,4895286,4685452,4423977,141,433052,5113468,50.61,189092,87624,10,21
SRR3989774,7500000,402,112,63,51,37,29,5157988,5093446,4980798,4894816,4667385,4405910,142,433052,5113710,50.6,189092,83695,10,21
SRR3989774,7750000,402,112,64,52,38,30,5157920,5093402,4982162,4896166,4667382,4405907,142,433052,5113666,50.6,175717,75818,10,22
SRR3989774,8000000,408,112,64,52,38,30,5158288,5093241,4982001,4896019,4667235,4405760,142,433052,5113505,50.6,175717,83695,11,22
SRR3989774,8250000,401,111,63,51,37,29,5157947,5093432,4982192,4896196,4667422,4405947,141,433052,5113696,50.6,189092,83695,10,21
SRR3989774,8500000,394,110,62,50,37,29,5157459,5095277,4981917,4895921,4684744,4423269,138,433052,5114007,50.6,189092,86836,10,21
SRR3989774,8750000,405,111,64,52,38,30,5158436,5094466,4983122,4897126,4666828,4405353,140,433052,5113827,50.6,175717,83695,11,22
SRR3989774,9000000,403,111,64,52,38,30,5158623,5094910,4983566,4897570,4667272,4405797,140,433052,5114272,50.6,175717,83695,11,22
SRR3989774,9250000,403,111,64,52,38,30,5158580,5094848,4983504,4897571,4667257,4405782,140,433052,5114210,50.6,175717,83695,11,22
SRR3989774,9500000,404,112,64,52,38,30,5158280,5094562,4981176,4895243,4667249,4405774,141,433052,5113924,50.6,175717,83695,11,22
SRR3989774,9750000,400,111,63,51,38,30,5157640,5095026,4981640,4895707,4684514,4423039,139,433052,5113764,50.6,175717,86836,11,22
SRR3989774,10000000,400,109,62,50,38,30,5158048,5094387,4982375,4896442,4700315,4438888,138,433052,5114129,50.6,176270,87624,11,22
SRR3989774,10250000,403,110,62,51,38,30,5157754,5093040,4977135,4896541,4685348,4423873,140,433052,5113645,50.6,175717,87624,11,22
SRR3989774,10500000,401,109,61,50,37,29,5157911,5093013,4977108,4896514,4685321,4423846,139,433052,5113618,50.6,176296,88219,11,21
SRR3989774,10750000,397,108,61,49,37,29,5158184,5094434,4982422,4896489,4700362,4438887,137,433052,5114128,50.6,176308,88219,11,21
SRR3989774,11000000,396,109,62,50,37,29,5158040,5094460,4982448,4896515,4685322,4423847,138,433052,5114154,50.6,176308,88219,11,21
SRR3989774,11250000,399,109,63,51,38,30,5158525,5094777,4984807,4898874,4685348,4423873,138,433052,5114471,50.6,175717,87624,11,22
SRR3989774,11500000,395,108,62,50,37,29,5158322,5094751,4984781,4898871,4685345,4423870,137,433052,5114445,50.6,176308,88219,11,21
SRR3989774,11750000,397,108,62,50,37,29,5158413,5094705,4984735,4898802,4685295,4423820,137,433052,5114399,50.6,176270,88219,11,21
SRR3989774,12000000,398,108,62,50,37,29,5158222,5094273,4984303,4898370,4684844,4423369,137,433052,5113967,50.6,176270,88219,11,21
SRR3989774,12203170,400,109,62,50,37,29,5158010,5094838,4983494,4897561,4684056,4422581,137,433052,5113576,50.6,176270,88219,11,21
SRR3989776,250000,2107,1220,251,33,1,0,4662885,4235022,1922304,440096,25474,0,1580,25474,4497611,51.48,4196,2350,323,679
SRR3989776,500000,522,371,247,163,57,11,4886166,4817023,4489896,3869955,2225306,693909,428,85758,4856655,50.98,21490,11515,66,142
SRR3989776,750000,546,230,167,132,68,23,4956355,4872083,4724593,4455898,3449550,1791386,282,134742,4909088,50.83,41013,19764,38,79
SRR3989776,1000000,430,203,143,118,65,31,4967443,4898708,4749537,4560277,3704612,2522993,244,148086,4928820,50.77,51860,25257,30,65
SRR3989776,1250000,385,180,118,98,62,32,4975401,4912729,4768092,4621460,4027387,2947627,217,185246,4939439,50.74,61632,32389,24,51
SRR3989776,1500000,353,148,97,91,61,32,4983409,4922202,4808591,4759438,4242666,3173548,185,185246,4948869,50.71,76920,38522,22,45
SRR3989776,1750000,341,135,85,78,53,36,4991340,4931657,4828165,4771093,4346667,3736644,168,245822,4955276,50.7,91827,51232,19,36
SRR3989776,2000000,336,131,82,74,51,30,4994950,4936292,4833011,4768187,4385263,3621477,163,390921,4958451,50.7,104055,44354,15,33
SRR3989776,2250000,321,121,76,69,47,29,4997886,4941976,4842309,4786263,4422024,3742172,147,390921,4960195,50.7,113221,51232,13,29
SRR3989776,2500000,325,117,72,65,46,28,5002673,4941066,4841891,4789557,4472599,3810703,151,390922,4964977,50.69,136947,55436,12,27
SRR3989776,2750000,312,113,71,64,46,28,5004473,4944205,4857035,4804701,4506565,3867526,147,451877,4968452,50.69,136947,55796,11,26
SRR3989776,3000000,306,108,67,62,44,28,5007820,4948968,4866292,4827810,4529662,3949627,142,552733,4973271,50.68,146055,61333,10,25
SRR3989776,3250000,300,111,68,63,45,29,5008237,4953804,4865563,4827443,4529703,3931708,144,390932,4976499,50.68,136947,61333,12,26
SRR3989776,3500000,292,108,67,61,43,28,5010211,4958180,4873217,4828717,4530619,3983422,137,507643,4978723,50.68,136947,61333,11,24
SRR3989776,3750000,290,106,65,60,43,28,5010414,4958865,4876760,4839862,4562605,4046078,135,525991,4979503,50.68,143297,63022,10,23
SRR3989776,4000000,291,104,63,58,41,27,5012587,4960602,4876338,4839440,4561751,4068368,134,525991,4981982,50.68,154504,63103,9,22
SRR3989776,4250000,286,104,63,58,41,27,5013169,4963620,4877805,4840907,4563218,4068368,131,525991,4982970,50.67,154504,63103,9,22
SRR3989776,4500000,282,104,62,57,40,26,5014142,4966616,4878762,4841864,4564175,4069303,129,601627,4984090,50.67,154504,63103,9,21
SRR3989776,4750000,292,105,64,58,41,27,5014536,4964857,4880485,4837695,4560006,4067794,132,601627,4983843,50.68,154504,63103,9,22
SRR3989776,5000000,287,102,64,57,41,27,5014814,4965439,4887312,4837642,4570703,4078514,130,601582,4985086,50.67,154504,66093,9,22
SRR3989776,5250000,285,102,64,57,41,27,5015079,4966875,4888275,4838593,4571654,4079476,128,601582,4984927,50.67,154504,66093,9,22
SRR3989776,5500000,279,102,65,57,41,27,5014975,4968077,4893913,4838593,4571654,4079476,128,601627,4985962,50.67,154504,66093,9,22
SRR3989776,5750000,275,103,67,58,41,27,5015489,4969709,4896877,4836195,4553698,4058860,128,601582,4986917,50.67,143299,66093,9,22
SRR3989776,6000000,268,102,66,57,40,26,5015597,4970557,4897605,4836560,4554063,4058907,127,618137,4987827,50.67,166860,65991,8,21
SRR3989776,6250000,271,103,67,58,41,27,5015472,4970590,4897618,4836587,4554090,4058934,128,601582,4987860,50.67,143299,65991,9,22
SRR3989776,6500000,265,102,65,56,39,25,5015323,4972076,4897868,4836708,4554211,4059055,128,618137,4989813,50.67,166860,65991,8,20
SRR3989776,6750000,268,105,67,59,43,27,5016525,4972493,4894756,4839613,4581248,4023431,131,565667,4990702,50.67,136947,63103,10,23
SRR3989776,7000000,263,102,64,56,40,25,5016397,4972442,4894611,4839461,4581096,4059055,128,618137,4990999,50.66,166860,65991,8,20
SRR3989776,7250000,267,102,64,56,40,25,5017030,4972402,4894409,4839259,4580894,4058846,128,618137,4990961,50.66,166860,66093,8,20
SRR3989776,7500000,265,101,64,57,40,25,5016947,4972520,4897487,4850251,4580894,4058846,127,618137,4990918,50.66,166860,66093,8,20
SRR3989776,7750000,264,102,65,56,40,25,5016924,4973533,4899771,4839461,4581096,4059055,129,618137,4992151,50.66,166860,65991,8,20
SRR3989776,8000000,269,102,65,56,40,25,5017256,4973254,4899492,4839080,4580713,4058981,129,618137,4991861,50.66,166860,66093,8,20
SRR3989776,8250000,269,101,65,56,40,25,5017365,4973264,4901297,4839080,4580713,4058981,128,618137,4991871,50.66,166860,66093,8,20
SRR3989776,8500000,268,101,65,56,40,25,5017437,4973250,4901297,4839080,4580713,4058981,128,618137,4992042,50.66,166860,66093,8,20
SRR3989776,8750000,271,100,65,56,40,25,5017652,4971393,4901297,4839080,4580715,4058981,130,618137,4991904,50.66,166860,66093,8,20
SRR3989776,9000000,269,100,65,56,40,25,5017395,4971409,4901297,4839080,4580715,4058981,129,618137,4991396,50.66,166860,66093,8,20
SRR3989776,9250000,267,101,66,57,39,25,5017403,4971736,4901568,4839351,4550109,4058981,130,618137,4991740,50.66,166860,66093,8,20
SRR3989776,9500000,268,101,66,57,39,25,5017976,4972085,4901557,4839340,4550098,4058981,130,618137,4992100,50.66,166860,66093,8,20
SRR3989776,9750000,268,101,66,57,39,25,5018074,4972183,4901592,4839340,4550096,4058981,130,618137,4992198,50.66,166860,66093,8,20
SRR3989776,10000000,267,97,64,56,39,25,5018536,4972153,4905892,4850148,4580718,4085880,126,618137,4992458,50.66,170198,66093,8,20
SRR3989776,10072784,266,98,65,57,38,25,5018648,4972424,4906163,4850419,4550112,4085880,127,618137,4992807,50.66,170198,66093,8,20
SRR3989777,250000,2110,1205,241,37,0,0,4622005,4165633,1861127,460688,0,0,1599,18402,4455880,51.44,4109,2297,323,677
SRR3989777,500000,719,377,240,159,53,10,4876733,4760840,4426257,3821617,2113435,633401,453,76085,4816880,50.91,22052,11482,66,140
SRR3989777,750000,639,252,165,126,66,27,4913182,4818012,4619577,4320183,3385880,2064221,300,155930,4853202,50.8,38658,19486,36,78
SRR3989777,1000000,519,192,127,104,67,31,4922887,4841186,4688533,4512283,3925115,2684638,228,190588,4867161,50.74,59514,29982,27,58
SRR3989777,1250000,487,171,108,91,60,32,4928815,4855790,4711350,4578792,4053118,3060589,200,218185,4877378,50.71,67614,34419,22,47
SRR3989777,1500000,474,141,91,82,56,32,4936514,4863212,4743550,4678089,4253191,3421139,167,233827,4882092,50.69,79004,41244,18,38
SRR3989777,1750000,458,134,84,76,53,29,4937479,4865871,4749155,4692935,4323939,3479818,159,233827,4883679,50.69,98667,43896,16,33
SRR3989777,2000000,473,135,83,75,54,31,4939175,4866671,4744823,4688891,4357597,3550376,159,233833,4884018,50.68,88237,45197,16,34
SRR3989777,2250000,447,125,73,67,48,32,4938457,4868570,4748806,4707381,4415471,3846054,149,233833,4885966,50.68,115937,64919,15,30
SRR3989777,2500000,455,127,75,67,48,32,4940302,4870311,4749857,4693784,4387724,3804233,149,233827,4885898,50.67,115937,64977,15,30
SRR3989777,2750000,453,123,73,66,48,33,4941276,4871879,4753485,4704180,4424116,3897913,145,233833,4887148,50.67,115937,66282,15,30
SRR3989777,3000000,454,120,70,62,45,32,4941753,4871324,4753636,4696425,4431015,3983112,142,370651,4886602,50.67,123876,66441,13,27
SRR3989777,3250000,453,118,69,62,44,30,4941879,4872071,4758215,4707637,4430364,3937574,139,370651,4886712,50.67,134102,66441,13,26
SRR3989777,3500000,457,114,66,61,44,30,4942621,4870651,4761200,4724795,4471833,3985443,136,370651,4886054,50.67,147315,68505,13,25
SRR3989777,3750000,438,114,66,60,44,30,4941493,4873497,4762162,4716446,4473572,3985443,135,370651,4888105,50.67,147315,68505,13,25
SRR3989777,4000000,417,111,64,58,44,30,4941028,4875377,4762288,4716572,4499578,4024235,132,370651,4889985,50.67,154014,68505,12,25
SRR3989777,4250000,411,110,64,58,44,30,4940461,4875626,4762514,4716835,4499841,4024498,131,370651,4890234,50.67,154014,68505,12,25
SRR3989777,4500000,407,108,62,56,42,28,4940337,4875569,4762601,4716922,4499767,4024424,129,370651,4890321,50.67,163563,68505,11,23
SRR3989777,4750000,411,109,62,56,42,28,4940565,4874995,4762266,4716550,4499395,4024052,131,370651,4890058,50.67,163563,68505,11,23
SRR3989777,5000000,410,109,62,56,42,28,4940241,4873735,4762216,4716500,4499345,4024009,132,370651,4889701,50.67,163563,68235,11,23
SRR3989777,5250000,411,109,62,56,41,27,4940548,4873812,4762293,4716577,4487615,4012279,132,370651,4889778,50.67,163563,68235,11,22
SRR3989777,5500000,417,109,62,56,41,27,4940439,4872073,4760554,4714875,4485913,4012316,133,370651,4888905,50.66,163563,68235,11,22
SRR3989777,5750000,415,108,61,56,40,28,4940403,4872660,4761300,4724932,4485876,4082812,131,370651,4889173,50.67,163563,69514,11,22
SRR3989777,6000000,411,108,61,56,40,28,4940137,4873153,4761330,4724962,4485906,4082842,130,370651,4888833,50.67,163563,69514,11,22
SRR3989777,6250000,410,110,61,54,40,28,4940042,4875114,4754928,4701251,4487758,4082836,130,370651,4889350,50.67,163563,69514,11,22
SRR3989777,6500000,414,109,63,56,41,29,4940649,4874295,4764272,4710595,4487014,4082211,130,370651,4889059,50.67,162435,69514,12,23
SRR3989777,6750000,414,110,61,54,41,30,4940234,4874183,4754603,4700926,4503613,4140595,131,370651,4888947,50.67,162435,69514,12,23
SRR3989777,7000000,414,110,61,54,41,30,4940236,4874185,4754605,4700928,4503613,4140595,131,370651,4888949,50.67,162435,69514,12,23
SRR3989777,7250000,415,110,61,54,41,30,4940441,4874186,4754605,4700928,4503613,4140595,131,370651,4888950,50.67,162435,69514,12,23
SRR3989777,7500000,408,109,60,53,41,29,4940159,4874971,4755390,4701713,4516205,4105608,130,370651,4889735,50.67,162435,68235,11,23
SRR3989777,7750000,406,109,60,53,41,29,4940163,4874896,4755388,4701711,4516205,4105608,131,370651,4890245,50.67,162435,68235,11,23
SRR3989777,8000000,415,107,59,52,40,29,4940510,4872662,4755197,4701520,4516014,4152996,131,370651,4888829,50.67,163563,69514,11,22
SRR3989777,8250000,420,108,60,53,41,30,4940900,4871975,4754378,4700701,4515195,4152177,132,370651,4888139,50.67,162255,69514,12,23
SRR3989777,8500000,426,108,60,53,41,30,4941081,4871721,4753907,4700230,4514724,4151706,131,370651,4887357,50.67,162255,69514,12,23
SRR3989777,8750000,422,107,59,52,40,29,4941116,4872490,4754608,4700931,4515425,4152407,130,370651,4888126,50.67,163563,69514,11,22
SRR3989777,9000000,429,108,60,53,41,30,4941364,4871816,4753933,4700256,4514750,4151732,131,370651,4887453,50.67,162255,69514,12,23
SRR3989777,9250000,427,108,60,53,41,30,4941178,4871791,4753908,4700231,4514725,4151707,131,370651,4887427,50.67,162255,69514,12,23
SRR3989777,9500000,427,108,60,53,41,30,4941076,4871812,4753929,4700252,4514746,4151728,130,370651,4886860,50.67,162255,69514,12,23
SRR3989777,9750000,424,108,60,53,41,30,4940880,4872026,4754143,4700466,4514959,4151941,131,370651,4887585,50.67,162255,69514,12,23
SRR3989777,10000000,422,108,60,53,41,30,4940678,4872031,4754148,4700471,4514965,4151947,131,370651,4887590,50.67,162255,69514,12,23
SRR3989777,10250000,424,108,60,53,41,30,4940476,4871702,4754199,4700522,4515003,4151985,131,370651,4887262,50.66,162255,69514,12,23
SRR3989777,10500000,423,108,60,53,41,30,4940236,4871837,4754385,4700708,4515202,4152184,129,370651,4886106,50.67,162255,69514,12,23
SRR3989777,10750000,417,106,61,54,41,30,4940462,4872155,4764473,4710796,4515202,4152184,128,370651,4887206,50.67,162255,69514,12,23
SRR3989777,11000000,417,106,61,54,41,30,4940462,4872155,4764473,4710796,4515202,4152184,128,370651,4887206,50.67,162255,69514,12,23
SRR3989777,11250000,428,106,61,54,41,30,4941221,4872830,4764548,4710871,4515186,4152168,127,370651,4887016,50.67,162255,69514,12,23
SRR3989777,11500000,431,108,60,53,41,30,4941281,4872361,4754266,4700589,4514975,4151957,130,370651,4887135,50.67,162255,69514,12,23
SRR3989777,11750000,434,108,60,53,41,30,4941371,4872528,4754476,4700799,4515185,4152167,130,370651,4887302,50.67,162255,69514,12,23
SRR3989777,12000000,432,108,60,53,41,30,4941434,4873004,4754476,4700799,4515185,4152167,130,370651,4887778,50.67,162255,69514,12,23
SRR3989777,12250000,431,108,60,53,41,30,4941195,4872782,4754254,4700577,4514974,4151956,130,370651,4887556,50.67,162255,69514,12,23
SRR3989777,12500000,417,108,60,53,41,30,4940286,4872113,4754185,4700508,4514996,4151978,131,370651,4887752,50.67,162255,69514,12,23
SRR3989777,12750000,420,107,60,53,41,30,4940401,4871946,4756964,4703287,4517775,4154757,130,370651,4887585,50.67,162255,69514,12,23
SRR3989777,13000000,420,107,60,53,41,30,4940409,4871916,4756934,4703257,4517745,4154727,130,370651,4887555,50.67,162255,69514,12,23
SRR3989777,13250000,418,107,60,53,41,30,4940302,4872146,4757164,4703487,4517964,4154946,130,370651,4887785,50.67,162255,69514,12,23
SRR3989777,13280304,420,107,60,53,41,30,4940384,4872146,4757164,4703487,4517964,4154946,130,370651,4887785,50.67,162255,69514,12,23
SRR3989778,250000,1727,1087,268,44,0,0,4365944,4053425,2030671,531445,0,0,1363,18000,4250948,51.31,4810,2619,288,586
SRR3989778,500000,600,369,235,152,50,9,4551816,4463751,4119443,3513964,1887498,535075,434,72365,4510742,50.81,21799,10746,66,140
SRR3989778,750000,427,256,174,132,65,21,4583241,4526745,4339236,4030408,2956890,1461969,295,143824,4554916,50.66,32424,17727,42,87
SRR3989778,1000000,346,204,144,113,65,24,4595448,4554802,4420523,4197005,3412942,1966256,232,134708,4574825,50.59,43823,24853,31,66
SRR3989778,1250000,314,166,125,100,63,30,4604057,4571057,4486991,4303036,3710024,2509030,185,172566,4584416,50.55,58265,32239,26,54
SRR3989778,1500000,266,149,110,93,65,31,4605182,4581402,4500659,4383778,3924469,2680116,164,172755,4591148,50.53,60432,35067,25,50
SRR3989778,1750000,245,130,96,84,64,33,4607202,4583306,4513758,4427188,4098010,2952332,145,297106,4593469,50.53,69342,38363,23,45
SRR3989778,2000000,251,127,95,84,62,34,4608395,4584460,4518117,4441898,4097427,3045971,142,297106,4594313,50.52,71027,41365,22,43
SRR3989778,2250000,264,123,94,83,62,34,4610933,4587450,4525564,4455031,4134879,3092900,133,297010,4593623,50.52,73623,41365,21,42
SRR3989778,2500000,249,119,92,82,63,35,4609761,4588169,4529879,4466541,4180216,3160877,129,297106,4594197,50.52,73623,41365,21,42
SRR3989778,2750000,254,113,86,76,58,33,4610886,4588294,4529430,4466091,4194834,3267764,123,355781,4594322,50.52,77000,46176,18,37
SRR3989778,3000000,233,108,87,75,59,35,4609847,4589184,4551364,4474318,4238550,3339213,117,355781,4594456,50.51,74018,47851,19,38
SRR3989778,3250000,247,111,87,77,61,36,4610726,4588761,4542047,4478687,4243011,3325288,120,355781,4594033,50.51,73623,47851,20,39
SRR3989778,3500000,245,109,85,76,60,35,4610605,4588901,4541416,4485536,4249860,3325174,118,355781,4594173,50.51,74018,47855,19,38
SRR3989778,3750000,236,105,82,73,57,35,4610783,4589393,4544074,4488262,4252486,3425469,115,228712,4595187,50.52,83035,49286,18,36
SRR3989778,4000000,244,105,81,73,57,35,4611322,4588461,4540385,4490076,4254602,3438494,116,355781,4594911,50.51,81150,49286,18,36
SRR3989778,4250000,247,107,82,72,57,35,4611210,4589249,4537958,4477120,4251835,3432505,116,228712,4594433,50.52,83035,49286,18,36
SRR3989778,4500000,251,109,84,74,57,34,4610802,4587272,4534085,4473237,4208487,3339469,121,228712,4594712,50.51,83039,48629,18,37
SRR3989778,4750000,248,108,81,72,57,35,4611316,4588592,4529928,4472245,4247211,3425829,119,228712,4594984,50.51,83035,49286,18,36
SRR3989778,5000000,253,110,83,73,58,35,4611271,4588497,4529833,4466755,4231330,3374810,121,228712,4594889,50.51,81150,48963,18,37
SRR3989778,5250000,258,109,82,72,57,34,4611822,4588619,4534194,4471106,4246587,3390067,118,355781,4593803,50.52,81154,48963,17,36
SRR3989778,5500000,244,107,80,70,57,35,4610852,4589609,4535147,4472059,4266973,3452463,116,355781,4594793,50.51,81154,50827,17,35
SRR3989778,5750000,250,109,81,71,57,34,4611448,4588834,4529472,4466291,4254153,3397580,119,355781,4594708,50.51,81154,49286,17,35
SRR3989778,6000000,243,108,81,71,57,35,4610567,4589512,4532426,4469245,4257102,3432426,117,355781,4594696,50.51,81150,49286,18,36
SRR3989778,6250000,247,107,81,71,57,35,4610758,4588723,4532859,4469781,4257674,3432998,117,355781,4594517,50.51,81150,49286,18,36
SRR3989778,6500000,246,106,79,69,56,35,4610748,4588901,4530759,4467681,4267385,3488013,116,355781,4594695,50.51,83035,50827,17,35
SRR3989778,6750000,247,107,80,70,57,36,4610333,4588187,4530045,4466957,4266625,3484970,117,355781,4593981,50.51,81150,50827,18,36
SRR3989778,7000000,246,106,79,69,56,36,4610890,4588779,4530637,4467456,4267124,3523888,116,355781,4594573,50.51,82563,53639,18,35
SRR3989778,7250000,246,107,80,69,56,35,4610504,4588310,4530170,4459368,4259072,3477417,117,355781,4594104,50.51,82563,50827,17,35
SRR3989778,7500000,241,107,80,69,56,36,4610639,4589198,4531058,4460256,4259960,3516720,117,355781,4594992,50.51,83035,53639,18,35
SRR3989778,7750000,243,107,80,69,56,36,4610742,4588893,4530753,4459951,4259655,3516419,117,355781,4594687,50.51,82563,53639,18,35
SRR3989778,8000000,245,107,80,69,56,36,4610887,4588910,4530770,4459968,4259672,3516436,117,355781,4594704,50.51,82563,53639,18,35
SRR3989778,8250000,243,107,81,70,56,35,4610700,4588826,4532962,4462253,4250146,3461606,117,355781,4594620,50.51,82563,50827,18,35
SRR3989778,8500000,239,104,80,69,55,34,4610746,4589065,4540633,4469889,4257782,3469242,114,355781,4594859,50.51,86246,50827,17,34
SRR3989778,8750000,246,106,81,70,56,35,4611028,4588948,4538240,4467589,4243997,3469591,116,355781,4594742,50.51,86246,50827,17,35
SRR3989778,9000000,240,105,80,69,56,35,4610641,4589018,4538310,4467659,4267363,3492957,115,355781,4594812,50.52,86246,50827,17,35
SRR3989778,9250000,243,105,80,69,56,35,4610884,4589018,4538310,4467659,4267362,3492957,115,355781,4594812,50.52,86246,50827,17,35
SRR3989778,9500000,245,107,82,71,56,35,4610979,4589097,4538414,4467670,4231279,3456873,117,355781,4594891,50.52,86246,50827,17,35
SRR3989778,9750000,241,105,81,70,56,35,4610749,4588896,4543113,4472369,4259274,3484868,115,355781,4594690,50.52,86246,50827,17,35
SRR3989778,10000000,242,106,82,71,57,36,4610624,4588817,4543034,4472290,4259195,3484789,116,355781,4594611,50.52,82563,50827,18,36
SRR3989778,10250000,240,105,81,70,56,36,4610590,4588790,4543007,4472263,4259168,3525762,115,355781,4594584,50.52,86246,53639,18,35
SRR3989778,10500000,239,105,81,70,56,36,4610504,4588960,4543177,4472433,4259374,3525968,115,355781,4594754,50.52,86246,53639,18,35
SRR3989778,10750000,242,106,82,71,57,36,4610732,4589144,4543361,4472617,4259558,3481131,116,355781,4594938,50.52,81150,50827,18,36
SRR3989778,11000000,241,106,82,71,57,35,4610756,4589119,4543336,4472592,4259533,3449989,116,355781,4594913,50.52,82563,50827,17,35
SRR3989778,11063774,244,105,81,70,56,35,4611097,4589223,4543440,4472696,4259637,3481263,115,355781,4595017,50.52,82563,50827,17,35
SRR3989779,250000,2216,1262,216,30,0,0,4629028,4168629,1635127,387881,0,0,1635,23126,4441179,51.43,3855,2250,350,726
SRR3989779,500000,604,397,263,162,56,4,4876005,4782618,4453069,3713318,2018942,230528,472,66383,4833790,50.91,23149,11085,73,154
SRR3989779,750000,517,272,180,137,68,24,4948513,4855658,4649158,4323940,3224573,1662358,343,91720,4905221,50.7,34818,17696,43,90
SRR3989779,1000000,458,225,149,119,62,31,4971907,4893772,4740205,4526122,3574697,2505011,275,196419,4929180,50.62,51270,22701,31,68
SRR3989779,1250000,391,190,130,105,60,33,4978975,4915710,4781838,4600771,3877807,2899917,226,196419,4941942,50.57,64115,28730,26,54
