SRA_number,read_number,#_contigs(>=0bp),#_contigs(>=1000bp),#_contigs(>=5000bp),#_contigs(>=10000bp),#_contigs(>=25000bp),#_contigs(>=50000bp),Total_length(>=0bp),Total_length(>=1000bp),Total_length(>=5000bp),Total_length(>=10000bp),Total_length(>=25000bp),Total_length(>=50000bp),#_contigs,Largest_contig,Total_length,GC(%),N50,N75,L50,L75,Total_kmers_11,Total_kmers_22,Total_kmers_33,Total_kmers_44,Total_kmers_55,Total_kmers_66,CDS_number,CDS_total_length,CDS_average_length,Genome_length_min,Genome_length_max,Genome_repeat_length_min,Genome_repeat_length_max,Read_error_rate_min,Read_error_rate_max
SRR3989741,3250000,120,60,46,45,40,31,4366009,4352167,4315572,4307744,4214002,3868645,68,290695,4357132,50.74,143042,78234,12,22,2666,2101,1618,1190,797,496,4053,3846135,948,4481381,4483192,314172,314299,0.241622,0.241622
SRR3989742,3250000,128,43,34,34,33,25,4774897,4761790,4742455,4742455,4726540,4463981,47,440541,4764785,50.75,192555,132883,9,17,1904,605,419,332,302,184,4455,4215707,946,4728304,4731771,161442,161560,0.243605,0.243605
SRR3989743,3250000,405,134,79,68,60,34,5106309,5035464,4911913,4822826,4700136,3741864,175,210594,5062819,50.56,103209,46751,17,36,1870,818,679,535,393,232,4810,4410597,916,5352617,5357828,771927,772679,0.236583,0.236583
SRR3989744,3250000,401,134,89,77,59,34,5356005,5295778,5195625,5104882,4796289,3933298,159,344509,5312568,50.31,93575,45886,16,36,1943,1100,859,703,533,304,5002,4622674,924,5531784,5535764,513111,513480,0.237208,0.237208
SRR3989745,3250000,523,160,109,88,54,31,5209944,5127683,5022051,4872639,4320849,3474955,204,360639,5158222,50.52,87011,38007,18,41,2009,1006,809,637,507,331,4885,4476309,916,5463738,5468477,624639,625181,0.260514,0.260514
SRR3989746,3250000,440,116,72,61,46,32,5346846,5279647,5182170,5104494,4857675,4386049,142,422472,5298616,50.36,149354,74205,12,25,1830,675,486,390,279,180,4913,4618718,940,5453842,5457778,498579,498938,0.241302,0.241302
SRR3989747,3250000,461,158,94,73,53,30,4883355,4799876,4649751,4492358,4164984,3359349,205,254749,4832030,50.55,98665,38146,18,37,1854,888,686,531,388,235,4538,4204596,926,5016008,5021293,484485,484995,0.242243,0.242243
SRR3989748,3250000,294,136,97,85,58,31,4516094,4482858,4396531,4306633,3854091,2807102,150,234567,4492893,50.88,65560,41555,22,44,2477,1875,1478,1040,720,535,4178,3942995,943,2599325,2600524,399665,399849,0.255457,0.255457
SRR3989749,3250000,301,139,92,79,59,32,5066169,5030375,4919708,4819539,4491654,3547160,156,229173,5042270,50.45,88146,42897,18,38,1894,1040,847,674,481,292,4794,4405161,918,5114513,5118691,408580,408914,0.232863,0.232863
SRR3989750,3250000,209,89,63,55,44,29,4754411,4719684,4662651,4603534,4414691,3886465,112,315786,4735680,50.35,132523,65007,11,24,1881,744,695,605,442,248,4438,4138946,932,4718893,4721969,297705,297899,0.244702,0.244702
SRR3989751,3250000,194,82,59,53,40,29,4700763,4673415,4624871,4581953,4352112,3972446,91,307542,4679527,50.53,154294,75871,11,22,1890,1148,927,688,483,283,4362,4101761,940,2436923,2439183,38073,38108,0.264231,0.264231
SRR3989752,3250000,329,133,85,63,50,34,5177729,5121150,5017353,4857376,4663409,4054960,169,610633,5146017,50.44,111510,52619,14,31,1835,757,579,460,328,204,4720,4494463,952,5258204,5263284,555976,556513,0.250699,0.250699
SRR3989753,3250000,260,92,67,55,47,29,5033676,4998862,4937054,4854138,4714779,4051104,103,544212,5006762,50.45,136020,61541,12,24,2489,1737,1363,1040,752,469,4639,4400084,948,5026740,5030149,454426,454735,0.338998,0.338998
SRR3989754,3250000,316,119,75,63,53,32,4704466,4659346,4564385,4472978,4320917,3553705,138,282263,4672531,50.6,100601,52013,15,32,2059,863,744,590,469,265,4417,4073913,922,4715586,4717936,313410,313566,0.221003,0.221003
SRR3989755,3250000,641,217,140,112,70,30,5142808,5040477,4847932,4646151,3987999,2556423,266,210383,5075678,50.58,51846,29192,30,64,2506,1772,1310,1075,942,588,4846,4388887,905,5488547,5491636,764867,765297,0.26476,0.26476
SRR3989756,3250000,430,171,115,95,58,33,5065338,5009017,4888166,4745527,4084572,3177638,196,242421,5025674,50.58,71333,34440,23,48,2552,1818,1622,1291,901,426,4758,4383226,921,5286545,5288969,558714,558970,0.238966,0.238966
SRR3989757,3250000,460,181,113,94,59,36,5019512,4940457,4806116,4669199,4053922,3246595,227,185778,4972166,50.61,67034,33779,24,49,1953,847,744,608,505,350,4701,4316802,918,5126486,5129333,476863,477128,0.261168,0.261168
SRR3989758,3250000,470,187,114,93,65,30,5137188,5068275,4915764,4754919,4313770,3046379,224,199885,5092603,50.6,68803,36002,22,49,2182,1527,1186,901,621,370,4896,4435033,905,5598050,5602434,933031,933761,0.267564,0.267564
SRR3989759,3250000,605,196,118,98,66,29,5106992,5007003,4834537,4676632,4150031,2813167,250,340739,5044034,50.48,57591,31069,24,54,2073,1275,1017,815,594,357,4805,4371000,909,5185690,5188086,582956,583225,0.243959,0.243959
SRR3989760,3250000,347,143,104,83,61,33,4980120,4929921,4843577,4690759,4331099,3346873,167,239361,4947079,50.68,78508,39514,19,42,2100,1098,962,790,593,361,4710,4337142,920,5212802,5216381,679401,679868,0.247495,0.247495
SRR3989761,3250000,714,231,142,112,69,33,5323655,5205295,5000290,4783962,4038027,2783880,298,192704,5252940,50.22,54549,27831,30,66,2823,2244,1820,1451,1028,556,5144,4540174,882,5816078,5819499,1056982,1057604,0.249452,0.249452
SRR3989762,3250000,261,105,74,66,54,33,5116846,5077963,5013711,4954762,4755835,3971649,123,322183,5090844,50.45,109863,57059,16,31,1924,929,786,666,530,285,4788,4458105,931,5181729,5185989,410196,410533,0.247485,0.247485
SRR3989763,3250000,1271,140,70,62,50,30,5327257,4916575,4807367,4751000,4546128,3835239,363,385335,5064390,50.68,118671,52740,13,30,1884,839,686,546,391,256,4751,4360580,917,4936403,4939815,345801,346040,0.319498,0.319498
SRR3989764,3250000,170,82,64,58,45,34,4836096,4818388,4784364,4741018,4530710,4113696,90,260091,4824099,50.33,116006,81217,15,26,1894,883,665,569,458,264,4426,4247792,959,5014620,5018447,512455,512846,0.253354,0.253354
SRR3989765,3250000,292,137,92,73,51,30,5079839,5043642,4938683,4799311,4479478,3696542,155,224288,5055967,50.15,119409,43988,15,33,2757,2162,1797,1366,826,470,4754,4405595,926,5820991,5827047,1364564,1365983,0.257231,0.257231
SRR3989766,3250000,380,188,136,108,65,28,4843692,4808237,4677469,4463312,3783195,2489326,203,190620,4818254,50.49,54400,27861,27,59,2385,1749,1539,1248,909,490,4487,4185784,932,2525120,2526646,88883,88937,0.244954,0.244954
SRR3989767,3250000,341,146,99,82,53,32,5295972,5249912,5144891,5027100,4551762,3824542,164,231496,5262488,50.38,119785,44866,16,35,2432,1872,1458,1105,749,403,4894,4621934,944,5665312,5667761,701836,702140,0.243632,0.243632
SRR3989768,3250000,279,118,68,60,49,27,5071832,5023602,4917419,4863005,4659213,3827400,146,368057,5043392,50.58,153200,50712,12,27,1816,592,469,375,286,194,4739,4412227,931,5157597,5162260,457681,458095,0.243144,0.243144
SRR3989769,3250000,324,126,80,65,53,31,5202760,5153835,5048331,4941196,4737604,3946913,149,242793,5169065,50.62,124080,54013,16,30,1889,815,699,541,394,236,4954,4525710,913,5074618,5076637,236467,236561,0.253361,0.253361
SRR3989770,3250000,289,109,68,61,48,32,5060301,5007288,4915895,4862810,4643003,4083583,141,418926,5029175,50.72,130918,66089,13,27,1884,600,492,391,286,192,4711,4397779,933,5012473,5014542,302004,302129,0.247354,0.247354
SRR3989771,3250000,361,116,66,55,46,27,5040121,4978149,4865549,4789872,4647885,3973626,154,374315,5005262,50.52,148832,57795,11,24,1995,820,669,521,349,225,4550,4364584,959,4942786,4945639,391652,391878,0.282064,0.282064
SRR3989772,3250000,437,134,88,74,52,31,5166166,5103540,5004953,4910248,4563853,3826517,154,282649,5118123,50.61,108424,47264,15,32,2937,2527,1848,1277,959,631,4864,4456054,916,5438312,5440475,752786,753085,0.273217,0.273217
SRR3989773,3250000,205,73,48,46,39,27,4713154,4680388,4631980,4617810,4501471,4092345,90,385688,4692477,50.7,180219,79110,10,19,1940,649,541,481,370,229,4367,4139365,947,4662857,4666083,282661,282857,0.305868,0.305868
SRR3989774,3250000,419,115,70,55,41,31,5156312,5091752,4991356,4877243,4641750,4304652,144,433052,5111757,50.61,152242,66464,11,24,2869,1907,1729,1451,1094,535,4836,4452233,920,5394051,5396456,687729,688036,0.279938,0.279938
SRR3989776,3250000,300,111,68,63,45,29,5008237,4953804,4865563,4827443,4529703,3931708,144,390932,4976499,50.68,136947,61333,12,26,1905,691,555,425,296,213,4712,4361978,925,4926018,4929038,357304,357523,0.300069,0.300069
SRR3989777,3250000,453,118,69,62,44,30,4941880,4872072,4758216,4707638,4430365,3937575,139,370651,4886713,50.67,134102,66441,13,26,1897,636,519,403,287,198,4534,4263370,940,4984086,4987609,437776,438085,0.276248,0.276248
SRR3989778,3250000,246,111,87,77,61,36,4610671,4588762,4542048,4478688,4243012,3325289,120,355781,4594034,50.51,73623,47851,20,39,2234,1104,989,872,665,375,4274,4023577,941,4514201,4516601,294423,294580,0.263309,0.263309
SRR3989779,3250000,318,118,83,68,48,30,5001271,4949125,4873619,4767309,4468907,3811711,147,283322,4968581,50.48,116950,55109,14,29,1876,680,565,441,338,207,4732,4335312,916,4880978,4884661,350854,351119,0.312155,0.312155
SRR3989780,3250000,329,127,94,77,56,29,4722133,4677320,4593107,4466417,4130748,3162987,156,222952,4697666,50.5,83348,40838,17,38,2623,1412,1392,1256,1047,582,4401,4095367,930,4742772,4744421,372865,372995,0.283011,0.283011
SRR3989781,3250000,405,160,98,86,56,34,4736529,4651767,4532823,4449251,3969803,3178363,224,208148,4695197,50.86,69101,40239,21,42,2763,1593,1471,1328,1040,564,4406,4079500,925,4567392,4571535,280141,280395,0.333407,0.333407
SRR3989782,3250000,283,109,72,65,54,36,4928481,4886641,4793610,4744828,4559115,3921552,128,235990,4900844,50.67,110974,60654,16,32,3277,2604,1784,1256,1096,676,4610,4287736,930,5374314,5376886,1045446,1045947,0.312443,0.312443
SRR3989783,3250000,311,118,89,77,55,33,4733637,4704332,4635805,4543073,4158352,3400016,128,205223,4710814,50.79,86247,43770,18,36,1925,812,692,573,390,238,4373,4137211,946,4707777,4710223,292636,292788,0.305974,0.305974
SRR3989784,3250000,444,181,116,91,59,31,4914637,4845439,4699345,4506696,3957995,2937564,220,210008,4871795,50.61,66908,34081,23,49,2782,2062,1769,1409,879,496,4671,4243668,908,5272074,5275727,947352,948009,0.294804,0.294804
SRR3989785,3250000,435,191,116,96,62,31,4858140,4791234,4618275,4475537,3885815,2771226,231,209912,4817191,50.69,62595,31163,25,53,2375,1514,1224,924,678,416,4600,4196642,912,4976255,4979247,694488,694905,0.315113,0.315113
SRR3989786,3250000,176,75,59,53,45,29,4781204,4758151,4728442,4689922,4543454,3952880,87,294562,4767231,50.74,116810,77093,12,24,1931,638,578,521,380,226,4470,4206764,941,4639339,4642713,243975,244153,0.300847,0.300847
SRR3989787,3250000,930,212,136,111,71,28,5259044,5128317,4952645,4766511,4149562,2541964,271,207362,5169913,50.49,49895,31525,29,62,2568,1956,1565,1201,802,433,4983,4472049,897,5430883,5433761,795785,796206,0.29698,0.29698
SRR3989788,3250000,367,159,103,87,65,36,5112583,5062784,4919961,4797522,4411942,3373837,185,199977,5079950,50.62,67197,39200,22,46,2026,1347,1069,821,587,314,4875,4439015,910,5045499,5047567,422323,422496,0.322681,0.322681
SRR3989789,3250000,623,256,149,121,69,23,5236863,5137106,4879886,4678758,3820732,2182860,310,208566,5176048,50.46,41778,24155,33,72,2176,1359,1113,909,716,524,4894,4469814,913,5277326,5279942,666072,666402,0.31104,0.31104
SRR3989790,3250000,470,162,97,82,61,35,5053324,4974778,4811257,4705312,4348334,3401299,202,199978,5001094,50.56,81454,42504,21,43,2134,1455,1132,866,565,329,4814,4354032,904,5257200,5260124,581238,581561,0.238454,0.238454
SRR3989791,3250000,669,194,116,101,67,35,5169241,5066689,4901890,4790300,4238280,3067901,241,180957,5099511,50.55,65243,37517,26,54,2115,1398,1102,849,590,329,4959,4424954,892,5187171,5189213,476907,477094,0.235486,0.235486
SRR3989792,3250000,607,191,117,99,65,36,5192188,5105111,4953600,4822863,4249810,3186559,228,180957,5131159,50.54,65243,37898,26,52,2117,1450,1145,861,604,349,4997,4461771,892,5241652,5244088,498543,498775,0.227268,0.227268
SRR3989793,3250000,537,194,122,99,69,38,5363640,5277387,5116826,4956912,4470157,3332086,235,226266,5304499,50.53,63512,38696,26,53,2286,1543,1244,1025,807,515,4949,4612475,932,5221799,5223690,410670,410818,0.254929,0.254929
SRR3989794,3250000,560,214,135,108,79,34,5328863,5240156,5067881,4883031,4414149,2785313,264,186821,5273726,50.55,51078,32955,32,63,3201,2740,2224,1638,1025,629,4924,4572978,928,5639007,5642059,915370,915865,0.271321,0.271321
SRR3989795,3250000,639,193,112,92,66,32,5189626,5078792,4904417,4754598,4344641,3115984,257,215898,5124084,50.54,70031,35186,23,50,1935,976,746,563,405,234,4979,4445364,892,4999430,5001668,373103,373270,0.288166,0.288166
SRR3989796,3250000,504,175,118,95,71,37,5374381,5293310,5158411,5003306,4613557,3364669,222,238317,5325551,50.54,61144,39454,25,52,2106,1128,934,743,635,498,4984,4636978,930,5400609,5402440,542201,542384,0.280309,0.280309
SRR3989797,3250000,460,142,76,62,47,27,5475978,5376993,5229355,5123860,4883454,4196230,204,464381,5419724,50.41,133746,72273,12,25,1859,646,491,338,247,180,5012,4698836,937,5306783,5309781,322097,322279,0.233252,0.233252
SRR3989798,3250000,929,265,153,112,69,28,5356899,5192071,4934614,4634312,3963193,2505743,355,173967,5253786,50.37,43867,25597,31,69,2477,1939,1492,1152,879,506,5003,4529145,905,5757946,5761090,1002727,1003274,0.266451,0.266451
SRR3989799,3250000,234,97,71,65,54,31,4984289,4951336,4891335,4845877,4654915,3889143,112,279545,4962631,50.69,130496,59375,14,28,2093,1159,935,814,600,348,4702,4352993,925,4907280,4909466,275577,275700,0.291598,0.291598
SRR3989800,3250000,414,134,98,83,55,38,5221959,5168319,5089177,4980755,4509625,3959078,152,281871,5181675,50.35,89601,51537,18,37,2031,897,853,797,581,296,4870,4536555,931,5331652,5334366,641133,641460,0.240992,0.240992
SRR3989801,3250000,319,122,75,69,53,31,5228763,5167137,5070706,5019369,4737608,3955736,161,268342,5195142,50.51,130190,56006,14,30,2648,2188,1775,1252,782,479,4923,4535742,921,5439489,5441510,691416,691673,0.394146,0.394146
SRR3989802,3250000,417,156,102,85,62,32,5036270,4963894,4855502,4730761,4307948,3231850,196,192565,4992511,50.58,74613,37427,20,45,2596,1941,1630,1327,932,522,4783,4344321,908,5070687,5072500,521006,521192,0.396185,0.396185
SRR3989803,3250000,315,112,74,66,49,28,4896301,4853581,4775304,4718315,4431709,3661416,129,447501,4865426,50.48,106676,52691,12,28,1894,782,642,502,341,228,4605,4252651,923,5076765,5080564,548061,548471,0.348529,0.348529
SRR3989804,3250000,272,131,93,79,58,30,4744080,4716420,4629669,4524972,4153360,3194421,143,210039,4724912,50.66,93407,40659,18,39,2087,913,803,688,543,377,4417,4149188,939,4603354,4605030,233494,233579,0.400987,0.400987
SRR3989805,3250000,214,98,73,63,52,29,5140860,5109253,5054905,4988269,4821963,4002818,114,601998,5121792,50.38,135788,58125,13,27,2340,1662,1411,1180,961,555,4872,4483715,920,5482694,5486770,809437,810039,0.397283,0.397283
SRR3989806,3250000,453,123,77,71,56,32,4988559,4900765,4802233,4765084,4519324,3622360,168,299523,4931574,50.68,107334,48187,16,34,1847,715,532,414,300,181,4677,4312241,922,4952808,4955479,445559,445799,0.398311,0.398311
SRR3989807,3250000,1131,290,150,119,76,33,5974798,5784726,5494980,5276219,4546511,3153064,369,302891,5839339,50.29,56032,26592,29,70,2951,2224,1845,1372,898,527,5571,4978299,893,6212200,6215974,1008589,1009201,0.398611,0.398611
SRR3989808,3250000,343,133,95,79,57,28,4631698,4586949,4497922,4378073,3984002,2960601,149,285307,4597983,50.7,69959,36388,18,40,2099,956,911,788,645,376,4311,4029349,934,4639668,4643307,355127,355405,0.440157,0.440157
